SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
005540.52+154326.4 1.4680 19.438 0.032 19.257 0.025 19.042 0.017 18.849 0.018 18.851 0.039 -1.000 -9.000 -25.979
005545.58+003400.1 1.2061 21.129 0.104 20.956 0.059 20.728 0.044 20.826 0.071 20.570 0.183  0.000 -9.000 -23.406
005548.84+002939.4 0.4481 18.947 0.029 18.751 0.047 18.766 0.018 18.657 0.018 18.535 0.035  0.000 -9.000 -23.171
005550.75-101905.6 0.3091 18.906 0.031 18.654 0.029 18.448 0.041 18.422 0.032 17.726 0.025 15.610 -1.539 -22.535
005556.99+154749.2 1.0977 19.798 0.038 19.678 0.026 19.419 0.019 19.411 0.023 19.434 0.061 -1.000 -9.000 -24.720
005557.01+005933.4 1.3050 20.665 0.085 20.502 0.036 20.151 0.032 20.072 0.041 20.055 0.135  0.000 -9.000 -24.345
005557.04-000217.2 2.1334 20.284 0.054 20.200 0.029 20.144 0.025 20.091 0.033 19.912 0.107  0.000 -9.000 -25.463
005558.00-002010.6 1.3734 19.801 0.041 19.523 0.029 19.273 0.021 19.157 0.038 19.042 0.054  0.000 -9.000 -25.377
005600.21+141455.3 1.7408 19.442 0.035 19.129 0.025 19.125 0.022 18.850 0.027 18.750 0.047 -1.000 -9.000 -26.348
005600.62+005355.4 2.7598 21.525 0.170 20.246 0.033 20.145 0.031 20.202 0.044 19.828 0.109  0.000 -9.000 -25.940
005602.55-000202.8 2.3744 20.517 0.064 19.982 0.028 19.930 0.023 19.826 0.027 19.601 0.083  0.000 -9.000 -25.971
005603.29-094510.5 1.5872 19.620 0.038 19.351 0.035 19.188 0.027 18.898 0.018 18.974 0.068  0.000 -9.000 -26.012
005604.74+143138.6 1.2456 19.657 0.029 19.613 0.019 19.300 0.020 19.223 0.025 19.161 0.049 -1.000 -9.000 -25.154
005604.80+005126.5 0.6945 19.213 0.030 18.996 0.027 19.018 0.021 18.960 0.021 18.903 0.051  0.000 -9.000 -23.934
005609.71-093101.6 1.8105 19.245 0.033 19.159 0.022 19.088 0.024 18.843 0.028 18.892 0.061  0.000 -9.000 -26.378
005610.23+155157.6 1.5082 20.258 0.048 19.968 0.026 19.772 0.026 19.502 0.029 19.477 0.065 -1.000 -9.000 -25.375
005610.66+151148.1 1.2504 20.525 0.058 20.426 0.028 20.237 0.033 20.108 0.045 19.918 0.144 -1.000 -9.000 -24.307
005611.68-084129.5 1.7641 19.471 0.039 19.162 0.031 18.973 0.026 18.628 0.018 18.486 0.041  0.000 -9.000 -26.622
005614.81+010333.0 1.2001 20.217 0.060 20.174 0.037 19.854 0.033 19.801 0.035 19.876 0.105  0.000 -9.000 -24.415
005616.68+004814.8 0.9098 20.247 0.051 20.095 0.025 19.838 0.029 19.961 0.036 19.894 0.096  0.000 -9.000 -23.590
005618.68-104643.0 1.8451 19.431 0.035 19.518 0.032 19.496 0.020 19.246 0.029 19.181 0.070  0.000 -9.000 -26.002
005621.72+003235.6 0.4840 23.010 0.503 21.298 0.077 20.556 0.040 19.617 0.034 19.631 0.086 14.098 -9.000 -22.396
005624.62-000438.5 2.2386 20.067 0.045 19.778 0.024 19.684 0.023 19.667 0.028 19.552 0.080  0.000 -9.000 -25.999
005626.10+145107.4 1.6509 20.735 0.061 20.436 0.027 20.372 0.027 20.096 0.034 20.039 0.115 -1.000 -9.000 -24.933
005629.31+000109.3 1.1742 19.053 0.030 19.093 0.031 18.838 0.017 18.843 0.018 18.973 0.061  0.000 -9.000 -25.317
005630.25+143008.8 0.6174 20.641 0.057 20.420 0.023 20.464 0.031 20.106 0.033 20.101 0.102 -1.000 -9.000 -22.573
005631.25-095757.4 1.6503 19.526 0.038 19.293 0.017 19.192 0.028 18.942 0.018 18.916 0.055  0.000 -9.000 -26.055
005633.26-103424.1 1.5526 19.969 0.052 19.693 0.038 19.510 0.019 19.216 0.023 19.356 0.084  0.000 -9.000 -25.632
005633.87-002625.2 1.6996 20.572 0.076 19.862 0.031 19.513 0.027 19.149 0.027 19.074 0.052  0.000 -9.000 -25.885
005634.20+152052.6 1.6308 20.802 0.064 20.272 0.029 20.747 0.067 19.610 0.030 19.492 0.056 -1.000 -9.000 -25.428
005636.66+133853.6 1.2018 19.987 0.039 19.883 0.021 19.458 0.021 19.230 0.022 19.163 0.050 -1.000 -9.000 -25.084
005637.10-002649.9 0.4737 20.729 0.086 20.344 0.035 20.244 0.034 19.671 0.031 19.225 0.058  0.000 -9.000 -22.290
005638.49+003641.3 1.2352 21.602 0.147 20.912 0.067 20.228 0.032 20.049 0.041 20.120 0.130  0.000 -9.000 -24.237
005638.88+000222.1 1.5835 19.994 0.052 19.859 0.035 19.624 0.022 19.289 0.022 19.423 0.087  0.000 -9.000 -25.583
005639.33-003655.3 0.9204 20.067 0.051 19.688 0.031 19.648 0.028 19.663 0.031 19.298 0.066  0.000 -9.000 -23.912
005639.84+005820.4 1.1661 19.387 0.036 18.984 0.022 18.658 0.016 18.643 0.022 18.696 0.044  0.000 -9.000 -25.505
005640.20+153400.4 0.6956 19.437 0.032 19.099 0.022 18.988 0.034 19.010 0.026 18.860 0.049 -1.000 -9.000 -23.998
005642.28+000104.7 1.0769 20.019 0.056 19.867 0.033 19.670 0.022 19.738 0.028 19.676 0.106  0.000 -9.000 -24.217
005645.69+004154.1 0.8178 19.567 0.033 19.121 0.036 18.959 0.019 18.909 0.025 18.693 0.037  0.000 -9.000 -24.388
005646.17-004902.2 1.1154 19.739 0.045 19.662 0.025 19.503 0.023 19.517 0.025 19.585 0.083  0.000 -9.000 -24.531
005646.70-100938.2 1.3181 18.797 0.022 18.844 0.024 18.634 0.014 18.617 0.014 18.632 0.047  0.000 -9.000 -25.846
005646.82+010452.4 1.9960 19.058 0.036 19.125 0.035 19.032 0.027 18.847 0.017 18.624 0.038  0.000 -9.000 -26.561
005648.65-084827.1 1.7964 20.052 0.056 19.595 0.023 19.471 0.024 19.111 0.028 19.115 0.062  0.000 -9.000 -26.162
005652.89+004415.0 3.1090 23.024 0.389 20.316 0.041 19.768 0.024 19.765 0.034 19.781 0.089  0.000 -9.000 -26.648
005653.25-094121.8 3.2437 21.582 0.175 20.087 0.060 19.793 0.042 19.841 0.033 19.769 0.138  0.000 -9.000 -26.702
005654.88-003207.6 3.2536 24.794 1.386 20.988 0.045 20.525 0.039 20.262 0.040 20.025 0.115  0.000 -9.000 -26.248
005658.23+154021.4 2.0741 22.154 0.221 21.076 0.037 20.571 0.034 20.022 0.035 19.657 0.070 -1.000 -9.000 -25.587
005700.19+143737.7 2.6432 18.658 0.018 17.867 0.019 17.608 0.016 17.379 0.024 17.244 0.023 -1.000 -9.000 -28.722
005701.13+145002.9 0.6239 19.250 0.025 18.850 0.016 18.813 0.018 18.659 0.018 18.679 0.039 -1.000 -9.000 -24.022
005701.34-083943.8 1.0852 18.723 0.030 18.487 0.020 18.119 0.020 18.185 0.023 18.199 0.034  0.000 -9.000 -25.888
005701.79+005721.0 2.4485 20.651 0.085 20.084 0.023 20.011 0.031 19.935 0.035 19.816 0.113  0.000 -9.000 -25.938
005703.38+001408.2 3.0150 23.107 0.594 20.595 0.035 20.279 0.033 19.872 0.030 19.835 0.119  0.000 -9.000 -26.461
005704.42+141759.3 0.3001 19.002 0.027 18.898 0.028 18.600 0.029 18.531 0.020 17.982 0.026 -1.000 -9.000 -22.422
005707.25-091846.0 0.8476 19.699 0.039 19.222 0.026 19.131 0.018 19.124 0.026 18.864 0.056  0.000 -9.000 -24.286
005707.97+154456.8 0.8107 20.307 0.051 20.121 0.024 20.103 0.025 19.993 0.036 19.738 0.077 -1.000 -9.000 -23.381
005708.27-093306.2 1.2071 19.399 0.040 19.399 0.023 19.028 0.028 18.999 0.020 19.145 0.072  0.000 -9.000 -25.269
005708.88-100944.3 1.6304 18.821 0.023 18.584 0.027 18.516 0.016 18.260 0.014 18.242 0.035  0.000 -9.000 -26.703
005709.17-004041.7 1.2288 19.522 0.039 19.508 0.024 19.291 0.021 19.281 0.022 19.434 0.073  0.000 -9.000 -24.995
005709.50-005450.9 1.8899 19.148 0.048 18.827 0.045 18.859 0.020 18.651 0.021 18.603 0.043  0.000 -9.000 -26.646
005709.94+144610.1 0.1721 16.245 0.013 16.147 0.017 15.979 0.020 15.423 0.024 15.617 0.018 -1.000 -0.609 -24.183
005711.43-002000.6 2.7593 20.858 0.089 19.777 0.028 19.606 0.033 19.555 0.028 19.486 0.080  0.000 -9.000 -26.585
005711.82-104015.4 1.3720 19.615 0.042 19.316 0.032 19.067 0.016 18.859 0.023 18.789 0.052  0.000 -9.000 -25.694
005713.01+004205.7 1.5382 19.941 0.044 19.479 0.022 19.109 0.023 18.894 0.021 18.800 0.040  0.000 -9.000 -25.920
005713.03+005725.6 1.7683 19.174 0.032 19.092 0.017 19.114 0.025 18.898 0.019 18.892 0.053  0.000 -9.000 -26.229
005715.49-085725.4 2.0448 19.166 0.031 19.073 0.027 18.957 0.033 18.759 0.035 18.559 0.048  0.000 -9.000 -26.777
005716.99-002433.1 2.7118 20.148 0.050 19.251 0.026 19.136 0.032 19.086 0.023 18.993 0.056 11.251 -9.000 -27.043
005717.36-000113.2 2.1567 19.346 0.031 18.989 0.024 18.897 0.019 18.934 0.024 18.667 0.041  0.000 -9.000 -26.651
005717.63+005158.1 1.0330 20.624 0.083 20.408 0.028 20.043 0.031 20.089 0.037 20.019 0.133  0.000 -9.000 -23.767
005717.88+003243.0 0.4915 18.979 0.029 18.754 0.043 18.768 0.016 18.462 0.018 18.397 0.036  0.000 -9.000 -23.595
005719.75-010010.3 0.6491 20.053 0.061 19.853 0.048 19.800 0.025 19.610 0.029 19.454 0.078  0.000 -9.000 -23.143
005722.30+001644.6 3.1472 22.434 0.336 21.284 0.050 20.691 0.041 20.523 0.046 20.291 0.178 15.204 -9.000 -25.908
005722.48+010101.8 1.1402 19.584 0.041 19.015 0.023 18.558 0.023 18.350 0.016 18.234 0.034  0.000 -9.000 -25.743
005722.60-000516.5 0.6569 20.650 0.071 19.950 0.027 19.875 0.024 19.797 0.031 19.431 0.074  0.000 -9.000 -22.959
005723.51+004057.7 0.6700 19.813 0.041 19.565 0.022 19.527 0.024 19.432 0.026 19.395 0.064  0.000 -9.000 -23.380
005727.48-000127.7 0.6571 20.862 0.083 20.135 0.031 19.906 0.029 19.631 0.040 19.412 0.075  0.000 -9.000 -23.124
005729.13-093258.4 0.5580 18.588 0.023 18.333 0.021 18.323 0.019 18.130 0.017 18.121 0.031 15.703 -1.574 -24.270
005729.41+011435.4 0.6923 20.110 0.053 19.563 0.019 19.597 0.024 19.598 0.028 19.373 0.072  0.000 -9.000 -23.291
005732.04-003917.3 1.5805 20.896 0.113 20.661 0.035 20.495 0.035 20.149 0.034 20.257 0.153  0.000 -9.000 -24.718
005737.07+154439.6 0.9063 18.549 0.022 18.327 0.017 18.115 0.015 18.191 0.019 18.111 0.028 -1.000 -9.000 -25.448
005737.55-084511.2 1.2069 17.658 0.020 17.566 0.022 17.293 0.025 17.238 0.022 17.232 0.029  0.000 -9.000 -27.055
005737.70+144259.4 0.2405 19.024 0.023 18.841 0.019 18.444 0.021 18.120 0.025 17.992 0.030 -1.000 -9.000 -22.261
005738.44-004636.3 1.3978 20.259 0.068 19.942 0.027 19.766 0.024 19.666 0.025 19.639 0.093  0.000 -9.000 -24.914
005743.78-001158.9 1.0672 20.319 0.056 20.105 0.038 19.871 0.023 19.973 0.035 19.723 0.096  0.000 -9.000 -23.970
005744.19+010929.3 1.2122 19.234 0.031 19.178 0.016 18.828 0.018 18.721 0.020 18.799 0.047  0.000 -9.000 -25.524
005744.67+010818.3 2.7659 20.258 0.058 19.265 0.017 19.095 0.019 18.874 0.021 18.687 0.043  0.000 -9.000 -27.278
005744.73-100543.2 1.9259 19.414 0.035 19.338 0.030 19.284 0.024 19.064 0.020 19.012 0.067  0.000 -9.000 -26.283
005748.11+002246.4 0.4820 20.649 0.076 20.265 0.036 20.217 0.030 19.746 0.028 19.699 0.108  0.000 -9.000 -22.266
005751.86-003408.4 1.1605 20.254 0.064 20.012 0.032 19.619 0.018 19.536 0.027 19.422 0.072  0.000 -9.000 -24.615
005755.54+002551.2 1.6132 20.490 0.066 20.339 0.034 20.244 0.029 19.887 0.036 19.987 0.124  0.000 -9.000 -25.036
005757.25+152110.9 1.2710 18.039 0.014 17.887 0.030 17.629 0.016 17.516 0.016 17.574 0.019 -1.000 -9.000 -26.948
005757.33+141859.9 2.1542 20.258 0.060 19.788 0.022 19.385 0.029 19.085 0.023 18.812 0.049 -1.000 -9.000 -26.562
005758.10-010405.6 1.2955 19.735 0.046 19.606 0.027 19.203 0.021 19.213 0.021 19.252 0.068  0.000 -9.000 -25.234
005759.44+152809.8 0.7958 19.658 0.034 19.284 0.025 19.115 0.026 19.054 0.030 18.851 0.049 -1.000 -9.000 -24.292
005801.16+011345.1 1.8681 20.474 0.068 20.336 0.025 20.236 0.030 19.801 0.033 19.502 0.083  0.000 -9.000 -25.461
005801.64+155311.2 1.2652 17.970 0.026 17.879 0.014 17.475 0.020 17.425 0.016 17.463 0.027 -1.000 -9.000 -27.013
005805.00+000919.5 1.7033 20.703 0.088 20.372 0.028 20.406 0.038 20.074 0.035 20.068 0.162  0.000 -9.000 -24.969
005807.91+010551.5 1.0623 18.650 0.024 18.442 0.015 18.137 0.017 18.114 0.017 18.054 0.028  0.000 -9.000 -25.814
005808.09+011215.9 1.0003 18.735 0.025 18.704 0.015 18.597 0.018 18.674 0.020 18.608 0.039  0.000 -9.000 -25.111
005809.13+003118.2 2.0884 20.241 0.061 19.950 0.034 19.785 0.025 19.801 0.038 19.652 0.095  0.000 -9.000 -25.720
005811.02-011032.1 0.8984 20.729 0.128 20.423 0.036 20.242 0.031 20.234 0.042 20.042 0.130  0.000 -9.000 -23.336
005812.84+160201.4 0.2106 17.826 0.025 17.132 0.014 16.623 0.020 16.230 0.015 16.305 0.023 -1.000 -9.000 -23.905
005813.68+001409.1 0.6786 21.131 0.111 20.430 0.047 20.343 0.035 20.067 0.032 19.461 0.090  0.000 -9.000 -22.768
005814.31+011530.2 2.4949 18.720 0.026 17.828 0.015 17.687 0.027 17.660 0.021 17.488 0.020  0.000 -9.000 -28.260
005816.38-104018.8 0.4365 19.962 0.054 19.693 0.022 19.559 0.027 19.230 0.024 18.825 0.053  0.000 -9.000 -22.559
005817.39-002226.2 1.4543 21.610 0.168 21.544 0.063 20.994 0.049 20.855 0.059 20.657 0.236  0.000 -9.000 -23.846
005820.84+152509.5 1.3060 20.575 0.052 20.406 0.036 19.951 0.024 19.822 0.030 19.742 0.071 -1.000 -9.000 -24.715
005823.86-000415.1 0.9338 19.331 0.029 19.171 0.023 19.031 0.018 19.158 0.021 19.048 0.056  0.000 -9.000 -24.453
005824.75+004113.3 1.9199 17.032 0.012 17.072 0.027 16.969 0.011 16.726 0.011 16.633 0.025  0.000 -9.000 -28.602
005828.93+001346.8 1.2413 20.147 0.051 20.048 0.045 19.784 0.030 19.697 0.031 19.632 0.105  0.000 -9.000 -24.596
005829.44+001317.9 1.6707 21.103 0.107 20.516 0.048 20.218 0.033 19.875 0.028 19.784 0.120  0.000 -9.000 -25.120
005830.16+005130.1 1.8256 20.387 0.070 19.756 0.022 19.396 0.024 19.106 0.035 19.040 0.060  0.000 -9.000 -26.101
005831.50+002756.8 2.0973 21.813 0.209 21.067 0.049 20.609 0.038 20.225 0.048 19.958 0.123  0.000 -9.000 -25.305
005833.64-102526.6 0.8157 19.481 0.051 19.181 0.021 19.109 0.027 19.264 0.024 19.180 0.061  0.000 -9.000 -24.033
005836.52+153711.4 2.1482 19.978 0.040 19.608 0.025 19.328 0.028 19.200 0.027 18.943 0.051 -1.000 -9.000 -26.503
005837.30-003553.7 1.8125 19.774 0.045 19.596 0.054 19.478 0.024 19.139 0.019 19.158 0.060  0.000 -9.000 -26.075
005837.59-011135.9 2.0686 20.180 0.054 20.226 0.029 20.244 0.028 20.010 0.037 20.126 0.141  0.000 -9.000 -25.508
005838.95-102651.3 0.4897 18.792 0.040 18.329 0.020 18.203 0.025 17.994 0.020 17.807 0.022  0.000 -9.000 -24.063
005839.19+142544.6 1.0271 20.650 0.054 20.422 0.024 20.160 0.027 20.121 0.033 20.281 0.117 -1.000 -9.000 -23.778
005840.03-004845.7 0.8087 19.911 0.054 19.694 0.022 19.594 0.022 19.568 0.033 19.527 0.089  0.000 -9.000 -23.719
005840.19+144341.8 1.9287 20.273 0.050 20.389 0.063 20.527 0.036 20.203 0.042 20.141 0.153 -1.000 -9.000 -25.174
005844.81-003934.1 1.6048 20.229 0.069 19.823 0.023 19.971 0.024 19.495 0.033 19.339 0.077  0.000 -9.000 -25.429
005847.75+145619.6 0.7480 20.406 0.047 20.088 0.028 20.040 0.025 19.937 0.029 19.930 0.102 -1.000 -9.000 -23.207
005850.70+151227.1 1.3197 17.621 0.015 17.531 0.020 17.332 0.015 17.275 0.018 17.272 0.024 -1.000 -9.000 -27.268
005855.75+011128.5 1.2210 18.758 0.029 18.554 0.021 18.193 0.016 18.177 0.020 18.382 0.045  0.000 -9.000 -26.079
005857.63-084727.8 1.3110 18.919 0.030 18.796 0.031 18.585 0.028 18.539 0.020 18.577 0.046  0.000 -9.000 -25.951
005901.84-105602.8 0.9232 19.397 0.035 19.296 0.020 19.162 0.017 19.247 0.028 19.046 0.068  0.000 -9.000 -24.355
005903.41-002556.8 1.8397 20.535 0.079 20.344 0.049 20.345 0.030 20.178 0.034 20.039 0.122  0.000 -9.000 -25.076
005905.39-004701.3 1.5606 20.569 0.090 20.351 0.028 20.281 0.030 19.950 0.039 20.137 0.138  0.000 -9.000 -24.902
005905.50+000651.6 0.7189 17.767 0.021 17.469 0.019 17.447 0.035 17.514 0.017 17.353 0.031  7.984 -9.000 -25.465
005905.99+002751.6 2.6042 20.386 0.062 19.465 0.020 19.265 0.022 19.140 0.034 18.975 0.055  0.000 -9.000 -26.881
005906.71+144320.5 1.6794 18.645 0.019 18.500 0.034 18.452 0.016 18.132 0.021 18.135 0.037 -1.000 -9.000 -26.945
005908.85-001602.6 1.1032 20.107 0.056 20.081 0.025 19.786 0.022 19.861 0.037 19.673 0.099  0.000 -9.000 -24.159
005909.21+152329.1 1.7307 19.826 0.032 19.445 0.020 19.373 0.018 19.148 0.020 19.205 0.051 -1.000 -9.000 -26.066
005911.50+141532.1 0.6050 19.967 0.047 19.409 0.034 19.308 0.024 19.122 0.029 19.140 0.065 -1.000 -9.000 -23.508
005913.65-104240.3 1.5146 21.224 0.141 20.739 0.040 20.431 0.040 20.252 0.043 19.847 0.116  0.000 -9.000 -24.520
005916.10+153816.0 0.3542 19.516 0.033 19.288 0.030 19.034 0.019 18.885 0.021 18.259 0.036 -1.000 -9.000 -22.534
005917.18-105036.4 1.6961 19.780 0.043 19.597 0.024 19.514 0.029 19.206 0.025 19.245 0.072  0.000 -9.000 -25.833
005917.47-091953.7 0.6409 19.404 0.052 19.055 0.024 19.011 0.025 19.031 0.022 19.081 0.065 12.677 -1.688 -23.699
005918.22+002519.7 0.6128 18.233 0.016 17.760 0.028 17.741 0.019 17.507 0.035 17.657 0.032  0.000 -1.339 -25.094
005918.57-002020.2 2.6486 20.342 0.065 19.636 0.023 19.493 0.020 19.513 0.026 19.298 0.077  0.000 -9.000 -26.548
005920.46-105810.0 1.4555 20.281 0.064 19.830 0.024 19.485 0.020 19.185 0.028 19.191 0.078  0.000 -9.000 -25.509
005921.37+004108.8 0.4225 19.172 0.025 19.022 0.028 19.024 0.029 18.804 0.020 18.668 0.039  0.000 -9.000 -22.882
005921.54+004350.1 1.4960 21.174 0.105 20.893 0.042 20.402 0.039 20.044 0.038 19.988 0.107  0.000 -9.000 -24.692
005922.65+000301.4 4.1544 24.191 1.381 22.181 0.091 19.340 0.026 19.227 0.025 19.059 0.064  0.000 -9.000 -27.806
005923.02-104458.1 1.3656 19.659 0.040 19.630 0.025 19.252 0.026 19.208 0.025 19.287 0.073  0.000 -9.000 -25.318
005923.89-000120.4 0.7470 20.171 0.073 20.008 0.037 19.986 0.026 20.193 0.041 19.818 0.098  0.000 -9.000 -22.876
005924.08-085940.0 1.9593 18.960 0.026 18.737 0.028 18.603 0.023 18.383 0.018 18.214 0.036  0.000 -9.000 -27.017
005927.85-100015.1 1.4210 19.298 0.032 19.296 0.019 18.911 0.029 18.769 0.019 18.757 0.048  0.000 -9.000 -25.870
005929.11-101735.0 1.4201 19.657 0.045 19.659 0.029 19.217 0.020 19.165 0.023 19.129 0.059  0.000 -9.000 -25.471
005930.06+011124.4 1.0300 18.960 0.029 18.739 0.035 18.497 0.018 18.457 0.021 18.397 0.036  0.000 -9.000 -25.395
005932.64+135852.6 1.1958 18.462 0.024 18.237 0.019 17.866 0.012 17.720 0.014 17.747 0.026 -1.000 -9.000 -26.570
005933.30+144731.6 1.8709 19.496 0.028 19.217 0.016 19.083 0.020 18.861 0.022 18.829 0.052 -1.000 -9.000 -26.491
005934.10-084313.1 2.0734 18.429 0.029 18.286 0.027 18.144 0.031 18.042 0.028 17.721 0.046  0.000 -9.000 -27.518
005939.80-011445.7 0.4592 21.900 0.271 21.447 0.071 20.301 0.031 19.749 0.036 19.564 0.085  0.000 -9.000 -22.162
005940.67-000946.2 2.3910 20.200 0.050 19.577 0.022 19.385 0.022 19.202 0.029 19.094 0.049  0.000 -9.000 -26.615
005942.13+000619.4 2.5051 20.468 0.077 20.106 0.023 19.879 0.030 19.919 0.034 19.879 0.131  0.000 -9.000 -26.015
005945.09-095155.2 3.0363 23.910 1.075 20.857 0.037 20.613 0.044 20.240 0.040 19.704 0.099  0.000 -9.000 -26.137
005946.65+000255.0 0.6819 19.059 0.032 18.845 0.022 18.921 0.034 18.853 0.028 18.919 0.059  0.000 -9.000 -24.001
005947.42-011010.9 1.1275 19.036 0.038 18.904 0.032 18.567 0.023 18.454 0.022 18.504 0.038  0.000 -9.000 -25.633
005948.49+142123.4 2.1706 19.785 0.042 19.339 0.038 19.154 0.023 19.061 0.026 18.820 0.053 -1.000 -9.000 -26.651
005949.47+160209.7 1.3862 19.751 0.041 19.560 0.033 19.068 0.025 18.927 0.026 18.829 0.059 -1.000 -9.000 -25.705
005949.56+010717.4 1.5211 21.032 0.098 20.440 0.023 19.983 0.030 19.643 0.030 19.410 0.059  0.000 -9.000 -25.133
005950.35+002938.0 0.7479 19.761 0.070 19.200 0.027 19.159 0.022 19.325 0.043 19.098 0.057  0.000 -9.000 -23.756
005951.66-084423.8 2.1426 18.848 0.028 18.436 0.022 18.236 0.029 18.102 0.015 17.839 0.029  0.000 -9.000 -27.545
005953.94+134225.4 1.2332 22.947 0.393 21.365 0.054 20.065 0.025 19.533 0.024 18.858 0.044 -1.000 -9.000 -24.819
005959.65-010851.2 1.6748 20.492 0.080 20.416 0.040 20.232 0.033 19.857 0.036 19.734 0.095  0.000 -9.000 -25.167
010001.69-091654.3 1.0326 19.193 0.027 18.863 0.019 18.557 0.012 18.589 0.020 18.610 0.044  0.000 -9.000 -25.297
010002.05+004733.5 0.7207 19.794 0.035 19.548 0.014 19.485 0.022 19.501 0.025 19.438 0.056  0.000 -9.000 -23.479
010002.32+001642.5 0.7771 17.870 0.019 17.493 0.017 17.430 0.033 17.472 0.018 17.287 0.024  0.000 -9.000 -25.708
010006.30+155723.2 0.6393 20.660 0.076 19.837 0.033 19.561 0.028 19.140 0.025 19.163 0.087 -1.000 -9.000 -23.636
010006.42+004202.8 1.6783 20.117 0.043 20.015 0.018 19.994 0.026 19.760 0.027 19.753 0.070  0.000 -9.000 -25.239
010007.28-003218.5 0.7358 19.912 0.047 19.696 0.027 19.753 0.024 19.722 0.031 19.586 0.062  0.000 -9.000 -23.322
010009.14-091344.4 0.8012 18.865 0.022 18.657 0.018 18.647 0.012 18.759 0.021 18.708 0.050  0.000 -9.000 -24.512
010024.35+002514.5 1.4789 21.012 0.095 20.640 0.031 20.440 0.032 20.193 0.051 20.383 0.162  0.000 -9.000 -24.526
010028.36+133259.2 1.8855 18.567 0.019 18.500 0.016 18.601 0.015 18.341 0.021 18.322 0.034 -1.000 -9.000 -26.994
010032.16-103219.1 1.1943 18.595 0.019 18.413 0.020 18.023 0.018 18.090 0.015 18.208 0.037  0.000 -9.000 -26.131
010032.24+005348.7 1.6105 20.103 0.057 19.999 0.026 19.957 0.033 19.792 0.043 19.846 0.113  0.000 -9.000 -25.123
010032.80+001855.5 1.4536 20.623 0.087 20.231 0.025 20.109 0.029 19.948 0.034 19.876 0.095  0.000 -9.000 -24.732
010033.50+002200.1 0.7535 18.266 0.025 17.922 0.019 17.960 0.019 18.118 0.024 17.963 0.026 13.222 -9.000 -24.981
010033.99-010912.2 2.0866 20.323 0.069 19.968 0.040 19.577 0.022 19.361 0.026 19.118 0.057  0.000 -9.000 -26.172
010034.20+004328.8 1.7990 19.790 0.034 19.865 0.022 19.855 0.024 19.582 0.029 19.517 0.057  0.000 -9.000 -25.582
010034.54+003547.0 2.8083 22.370 0.293 20.868 0.037 20.556 0.036 20.764 0.079 20.314 0.152  0.000 -9.000 -25.410
010039.71+154030.2 2.5747 22.851 0.397 20.792 0.032 20.100 0.025 19.784 0.030 19.190 0.056 -1.000 -9.000 -26.304
010040.98+005608.9 2.1759 20.318 0.067 19.876 0.025 19.793 0.031 19.649 0.041 19.492 0.085  0.000 -9.000 -25.960
010042.33+010501.6 0.6383 20.942 0.090 20.491 0.028 20.330 0.037 19.979 0.035 19.815 0.077  0.000 -9.000 -22.703
010042.73-102102.0 1.7049 19.433 0.041 19.359 0.022 19.369 0.021 19.234 0.030 19.179 0.063  0.000 -9.000 -25.823
010046.16-005855.2 3.3526 23.369 0.657 20.587 0.064 20.205 0.027 20.176 0.037 20.230 0.112  0.000 -9.000 -26.419
010046.78-105755.0 0.8774 19.606 0.040 19.337 0.042 19.253 0.026 19.213 0.025 19.032 0.075  0.000 -9.000 -24.256
010047.68-003752.2 0.7331 20.173 0.064 19.411 0.021 19.277 0.031 18.882 0.030 18.702 0.045  0.000 -9.000 -24.157
010049.93+002554.1 0.7569 20.815 0.082 20.398 0.027 20.292 0.030 20.076 0.050 20.060 0.118  0.000 -9.000 -23.028
010052.75-003135.6 0.9175 20.863 0.091 20.786 0.041 20.625 0.041 20.666 0.044 20.249 0.103 14.417 -9.000 -22.924
010056.72+154720.9 0.6584 19.008 0.025 18.498 0.018 18.566 0.017 18.558 0.020 18.510 0.040 -1.000 -9.000 -24.275
010058.58+135530.5 1.5045 19.852 0.039 19.618 0.023 19.445 0.021 19.182 0.027 19.217 0.068 -1.000 -9.000 -25.602
010059.16-091244.2 1.5909 19.798 0.044 19.594 0.030 19.476 0.028 19.260 0.026 19.114 0.058  0.000 -9.000 -25.655
010101.00+003918.5 3.0248 21.814 0.154 20.447 0.039 20.315 0.029 20.225 0.039 20.172 0.095  0.000 -9.000 -26.120
010107.76+010803.7 1.5331 20.304 0.057 20.303 0.026 20.096 0.027 19.808 0.030 19.810 0.078  0.000 -9.000 -24.985
010110.22-000436.0 1.2650 21.216 0.104 20.727 0.031 20.168 0.030 19.971 0.031 19.937 0.082  0.000 -9.000 -24.381
010110.62+005904.8 1.2866 20.361 0.068 20.041 0.022 19.742 0.027 19.548 0.031 19.421 0.094  0.000 -9.000 -24.836
